date,kickoff_local,kickoff_at,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,market_odds_a,market_odds_draw,market_odds_b,analysis_source,is_single_had,is_single_hhad,is_single_ttg,match_num,match_id,pool_status
2026-07-31,周五001,2026-08-01 01:00,挪超,瓦勒伦加,汉坎,false,中国足彩网备用数据,1.49,4.15,4.60,1.57,4.24,4.89,中国足彩网专业欧赔市场,true,false,false,周五001,2040667,
2026-07-31,周五002,2026-08-01 03:00,挪超,博德闪耀,利勒斯特,false,中国足彩网备用数据,1.17,6.10,9.00,1.24,6.27,9.35,中国足彩网专业欧赔市场,false,false,false,周五002,2040668,
2026-07-31,周五003,2026-08-01 07:30,美职联,纽约城,多伦多,false,中国足彩网备用数据,1.52,3.85,4.72,1.64,3.94,4.75,中国足彩网专业欧赔市场,false,false,false,周五003,2040669,
