date,kickoff_local,kickoff_at,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,market_odds_a,market_odds_draw,market_odds_b,analysis_source,is_single_had,is_single_hhad,is_single_ttg,match_num,match_id,pool_status
2026-08-01,周六001,2026-08-01 18:30,韩K联,江原FC,富川FC,false,中国足彩网备用数据,1.40,3.75,6.75,1.51,3.76,6.23,中国足彩网专业欧赔市场,false,false,false,周六001,2040673,
2026-08-01,周六002,2026-08-01 18:30,韩K联,全北现代,首尔FC,false,中国足彩网备用数据,2.55,3.12,2.40,2.59,3.12,2.63,中国足彩网专业欧赔市场,false,false,false,周六002,2040674,
2026-08-01,周六003,2026-08-01 18:30,韩K联,浦项制铁,金泉尚武,false,中国足彩网备用数据,2.03,3.05,3.25,2.12,3.17,3.36,中国足彩网专业欧赔市场,true,false,false,周六003,2040675,
2026-08-01,周六004,2026-08-01 20:00,芬超,图尔库,玛丽港,false,中国足彩网备用数据,1.39,4.30,5.70,1.49,4.29,5.54,中国足彩网专业欧赔市场,false,false,false,周六004,2040676,
2026-08-01,周六005,2026-08-01 21:00,瑞典超,赫根,卡尔马,false,中国足彩网备用数据,1.64,3.80,3.90,1.72,3.97,4.03,中国足彩网专业欧赔市场,true,false,false,周六005,2040677,
2026-08-01,周六006,2026-08-01 22:00,挪超,费特斯塔,桑纳菲,false,中国足彩网备用数据,2.15,3.35,2.74,2.28,3.37,2.91,中国足彩网专业欧赔市场,true,false,false,周六006,2040678,
2026-08-01,周六007,2026-08-01 23:00,芬超,拉赫蒂,雅罗,false,中国足彩网备用数据,1.48,4.00,4.90,1.61,3.97,4.80,中国足彩网专业欧赔市场,false,false,false,周六007,2040679,
2026-08-01,周六008,2026-08-02 00:00,挪超,斯达,维京,false,中国足彩网备用数据,5.55,4.55,1.37,5.31,4.48,1.50,中国足彩网专业欧赔市场,false,false,false,周六008,2040680,
2026-08-01,周六009,2026-08-02 00:00,芬超,赫尔火花,库普斯,false,中国足彩网备用数据,3.10,3.55,1.91,3.05,3.60,2.09,中国足彩网专业欧赔市场,false,false,false,周六009,2040681,
2026-08-01,周六010,2026-08-02 07:30,美职联,迈阿密,哥伦布,false,中国足彩网备用数据,1.47,4.40,4.50,1.62,4.30,4.43,中国足彩网专业欧赔市场,false,false,false,周六010,2040682,
2026-08-01,周六011,2026-08-02 07:30,美职联,温哥华,洛杉矶,false,中国足彩网备用数据,1.72,3.78,3.53,1.93,3.86,3.35,中国足彩网专业欧赔市场,false,false,false,周六011,2040683,
2026-08-01,周六012,2026-08-02 08:00,巴西杯,桑托斯,雷莫,false,中国足彩网备用数据,1.41,3.90,6.10,1.53,3.77,5.78,中国足彩网专业欧赔市场,true,false,false,周六012,2040705,
2026-08-01,周六013,2026-08-02 08:30,美职联,芝加哥,夏洛特,false,中国足彩网备用数据,1.44,4.28,4.96,1.51,4.56,5.09,中国足彩网专业欧赔市场,false,false,false,周六013,2040684,
2026-08-01,周六014,2026-08-02 08:30,美职联,圣路易斯,盐湖城,false,中国足彩网备用数据,1.96,3.65,2.90,2.01,3.74,3.21,中国足彩网专业欧赔市场,false,false,false,周六014,2040685,
2026-08-01,周六015,2026-08-02 10:30,美职联,洛城银河,达拉斯,false,中国足彩网备用数据,2.11,3.50,2.71,2.12,3.75,2.94,中国足彩网专业欧赔市场,false,false,false,周六015,2040686,
2026-08-01,周六016,2026-08-02 10:45,美职联,波特兰,西雅图,false,中国足彩网备用数据,2.02,3.70,2.75,2.13,3.83,2.88,中国足彩网专业欧赔市场,false,false,false,周六016,2040687,
