date,kickoff_local,kickoff_at,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,market_odds_a,market_odds_draw,market_odds_b,analysis_source,is_single_had,is_single_hhad,is_single_ttg,match_num,match_id,pool_status
2026-07-29,周三001,2026-07-29 23:00,欧冠,图凯拉特,奥莫尼亚,false,中国足彩网备用数据,2.00,3.10,3.26,2.14,3.24,3.25,中国足彩网专业欧赔市场,true,false,false,周三001,2040645,
2026-07-29,周三002,2026-07-30 01:00,欧冠,波兹莱赫,奥胡斯,false,中国足彩网备用数据,1.59,3.80,4.21,1.70,3.78,4.30,中国足彩网专业欧赔市场,false,false,false,周三002,2040646,
2026-07-29,周三003,2026-07-30 06:30,巴西甲,米拉索,雷莫,false,中国足彩网备用数据,1.55,3.65,4.75,1.69,3.63,4.85,中国足彩网专业欧赔市场,false,false,false,周三003,2040647,
2026-07-29,周三004,2026-07-30 06:30,巴西甲,巴西国际,弗拉门戈,false,中国足彩网备用数据,3.70,3.27,1.81,3.96,3.42,1.89,中国足彩网专业欧赔市场,false,false,false,周三004,2040648,
2026-07-29,周三005,2026-07-30 08:30,巴西甲,弗鲁米嫩,巴伊亚,false,中国足彩网备用数据,1.63,3.50,4.35,1.77,3.59,4.34,中国足彩网专业欧赔市场,true,false,false,周三005,2040649,
2026-07-29,周三006,2026-07-30 08:30,巴西甲,维多利亚,帕梅拉斯,false,中国足彩网备用数据,3.82,3.20,1.80,3.93,3.27,1.94,中国足彩网专业欧赔市场,false,false,false,周三006,2040650,
