date,kickoff_local,kickoff_at,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,market_odds_a,market_odds_draw,market_odds_b,analysis_source,is_single_had,is_single_hhad,is_single_ttg,match_num,match_id,pool_status
2026-08-03,周一001,2026-08-04 00:00,芬超,塞纳乔琪,赫尔辛基,false,中国足彩网备用数据,3.07,3.80,1.85,3.27,3.79,1.95,中国足彩网专业欧赔市场,false,false,false,周一001,2040701,
2026-08-03,周一002,2026-08-04 01:00,瑞典超,哈斯塔德,天狼星,false,中国足彩网备用数据,7.10,5.30,1.25,6.82,4.96,1.37,中国足彩网专业欧赔市场,false,false,false,周一002,2040702,
2026-08-03,周一003,2026-08-04 01:00,瑞典超,佐加顿斯,瓦斯特拉,false,中国足彩网备用数据,1.38,4.50,5.50,1.44,4.68,5.86,中国足彩网专业欧赔市场,true,false,false,周一003,2040703,
2026-08-03,周一004,2026-08-04 08:00,巴西杯,巴竞技,维多利亚,false,中国足彩网备用数据,1.48,3.70,5.45,1.55,3.68,5.83,中国足彩网专业欧赔市场,true,false,false,周一004,2040704,
