date,strategy_version,stage,match,play,selection,probability,raw_model_probability,odds,market_probability,value_edge,expected_value,stake,status,profit,reason,legs_json
2026-07-11,,,挪威 vs 英格兰,总进球,2球,0.23167755700259896,0.23167755700259896,3.6,,,,100,命中,260.0,总进球模型信心最高：2球，概率23.2%，竞彩网赔率3.6,[]
2026-07-11,,,厄格里特 vs 赫根,胜平负,负,0.6630892677829613,0.6630892677829613,1.4,,,,100,未中,-100.0,胜平负模型信心最高：负，概率66.3%，竞彩网赔率1.4,[]
2026-07-11,,,阿根廷 vs 瑞士,半全场,胜胜,0.46990872250761184,0.46990872250761184,2.42,,,,50,未中,-50.0,半全场模型信心最高：胜胜，概率47.0%，竞彩网赔率2.42,[]
2026-07-11,,,阿根廷 vs 瑞士,比分4串1,阿根廷vs瑞士 2-0 × 厄格里特vs赫根 0-2 × 特罗姆瑟vs瓦勒伦加 2-0 × 挪威vs英格兰 1-1,0.0001381196672728801,0.0001381196672728801,2895.1,,,,50,未中,-50.0,比分串关按单场比分概率排序选取4场，组合概率0.0%，组合赔率2895.1,"[{""date"": ""2026-07-11"", ""team_a"": ""阿根廷"", ""team_b"": ""瑞士"", ""score"": ""2-0"", ""probability"": 0.11252518531946808, ""odds"": 6.5}, {""date"": ""2026-07-11"", ""team_a"": ""厄格里特"", ""team_b"": ""赫根"", ""score"": ""0-2"", ""probability"": 0.10985698878514592, ""odds"": 8.0}, {""date"": ""2026-07-11"", ""team_a"": ""特罗姆瑟"", ""team_b"": ""瓦勒伦加"", ""score"": ""2-0"", ""probability"": 0.10590856237325683, ""odds"": 8.5}, {""date"": ""2026-07-11"", ""team_a"": ""挪威"", ""team_b"": ""英格兰"", ""score"": ""1-1"", ""probability"": 0.10549867933865018, ""odds"": 6.55}]"
2026-07-12,,,仁川联队 vs FC安养,胜平负3串1,仁川联队vsFC安养 胜 × 桑纳菲vs汉坎 胜 × 瓦斯特拉vs代格福什 胜,0.1474060825927882,0.1474060825927882,7.09,0.0981401407024869,0.0492659418903013,1.0451091255828684,30,未结算,0.0,组合概率14.7%，市场公平概率9.8%，概率优势4.9%；分析参考中国足彩网专业欧赔市场，方案赔率采用中国足彩网，组合赔率7.09,"[{""date"": ""2026-07-12"", ""team_a"": ""仁川联队"", ""team_b"": ""FC安养"", ""kind"": ""胜平负"", ""selection"": ""胜"", ""probability"": 0.5190196289273526, ""market_probability"": 0.44081174922901084, ""value_edge"": 0.07820787969834181, ""odds"": 2.01}, {""date"": ""2026-07-12"", ""team_a"": ""桑纳菲"", ""team_b"": ""汉坎"", ""kind"": ""胜平负"", ""selection"": ""胜"", ""probability"": 0.5603607945922855, ""market_probability"": 0.4927536231884058, ""value_edge"": 0.06760717140387967, ""odds"": 1.8}, {""date"": ""2026-07-12"", ""team_a"": ""瓦斯特拉"", ""team_b"": ""代格福什"", ""kind"": ""胜平负"", ""selection"": ""胜"", ""probability"": 0.5068318274641817, ""market_probability"": 0.45181816609894004, ""value_edge"": 0.055013661365241606, ""odds"": 1.96}]"
