date,strategy_version,stage,match,team_a,team_b,play,selection,probability,raw_model_probability,odds,league_calibrated_probability,league_calibration_samples,market_probability,value_edge,expected_value,stake,expected_return,expected_profit,reason,legs_json
2026-07-15,value-v3,欧冠,尼卡斯克 vs 图凯拉特,尼卡斯克,图凯拉特,观察单,负,0.5760363007294486,0.5836226816997432,1.54,0.5836226816997432,0,0.5746975276170436,0.001338773112404934,0.8870959031233508,0,0.0,0.0,零金额观察单；保守概率57.6%，联赛校准概率58.4%，原模型58.4%，市场公平概率57.5%，仅用于概率校准和CLV，不计入盈亏,[]
2026-07-15,value-v3,世界杯,英格兰 vs 阿根廷,英格兰,阿根廷,观察单,负,0.3230434307464783,0.40524617752195297,2.87,0.40524617752195297,0,0.30853706366845335,0.01450636707802494,0.9271346462423927,0,0.0,0.0,零金额观察单；保守概率32.3%，联赛校准概率40.5%，原模型40.5%，市场公平概率30.9%，仅用于概率校准和CLV，不计入盈亏,[]
2026-07-15,value-v3,欧冠,阿特比森 vs 克拉克斯,阿特比森,克拉克斯,观察单,胜,0.3481123510515364,0.3888361978013276,2.6,0.3888361978013276,0,0.34092578986039673,0.00718656119113964,0.9050921127339946,0,0.0,0.0,零金额观察单；保守概率34.8%，联赛校准概率38.9%，原模型38.9%，市场公平概率34.1%，仅用于概率校准和CLV，不计入盈亏,[]
