date,kickoff_local,kickoff_at,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,market_odds_a,market_odds_draw,market_odds_b,analysis_source,is_single_had,is_single_hhad,is_single_ttg,match_num,match_id,pool_status
2026-08-02,周日001,2026-08-02 18:30,韩K联,蔚山现代,FC安养,false,中国足彩网备用数据,1.83,3.45,3.42,1.89,3.50,3.69,中国足彩网专业欧赔市场,true,false,false,周日001,2040688,
2026-08-02,周日002,2026-08-02 18:30,韩K联,济州SK,仁川联队,false,中国足彩网备用数据,3.00,2.90,2.22,3.01,2.98,2.39,中国足彩网专业欧赔市场,false,false,false,周日002,2040689,
2026-08-02,周日003,2026-08-02 18:30,韩K联,大田市民,光州FC,false,中国足彩网备用数据,1.40,3.90,6.30,1.46,4.14,6.25,中国足彩网专业欧赔市场,false,false,false,周日003,2040690,
2026-08-02,周日004,2026-08-02 20:00,瑞典超,布鲁马波,马尔默,false,中国足彩网备用数据,2.96,3.55,1.96,3.08,3.55,2.12,中国足彩网专业欧赔市场,true,false,false,周日004,2040691,
2026-08-02,周日005,2026-08-02 20:00,瑞典超,哥德堡,代格福什,false,中国足彩网备用数据,1.70,3.55,3.85,1.74,3.66,4.32,中国足彩网专业欧赔市场,false,false,false,周日005,2040692,
2026-08-02,周日006,2026-08-02 20:00,芬超,瓦萨,国际图尔,false,中国足彩网备用数据,2.42,3.15,2.52,2.58,3.27,2.56,中国足彩网专业欧赔市场,false,false,false,周日006,2040693,
2026-08-02,周日007,2026-08-02 22:00,芬超,奥卢,埃尔维斯,false,中国足彩网备用数据,2.12,3.40,2.75,2.24,3.49,2.86,中国足彩网专业欧赔市场,false,false,false,周日007,2040694,
2026-08-02,周日008,2026-08-02 22:30,瑞典超,索尔纳,奥尔格里,false,中国足彩网备用数据,1.34,4.60,6.05,1.43,4.64,6.14,中国足彩网专业欧赔市场,false,false,false,周日008,2040695,
2026-08-02,周日009,2026-08-02 23:00,挪超,KF奥斯陆,克里斯蒂,false,中国足彩网备用数据,1.60,3.75,4.20,1.69,3.75,4.55,中国足彩网专业欧赔市场,false,false,false,周日009,2040696,
2026-08-02,周日010,2026-08-02 23:00,挪超,莫尔德,萨普斯堡,false,中国足彩网备用数据,1.47,4.35,4.55,1.62,4.16,4.55,中国足彩网专业欧赔市场,false,false,false,周日010,2040697,
2026-08-02,周日011,2026-08-02 23:00,挪超,奥勒松,特罗姆瑟,false,中国足彩网备用数据,3.46,3.55,1.79,3.47,3.62,1.95,中国足彩网专业欧赔市场,true,false,false,周日011,2040698,
2026-08-02,周日012,2026-08-03 01:15,挪超,布兰,罗森博格,false,中国足彩网备用数据,1.76,3.80,3.35,1.92,3.80,3.40,中国足彩网专业欧赔市场,true,false,false,周日012,2040699,
2026-08-02,周日013,2026-08-03 05:00,巴西杯,米拉索,格雷米奥,false,中国足彩网备用数据,1.85,3.05,3.85,1.98,3.19,3.72,中国足彩网专业欧赔市场,true,false,false,周日013,2040706,
2026-08-02,周日014,2026-08-03 06:30,巴西杯,巴西国际,科林蒂安,false,中国足彩网备用数据,2.22,2.78,3.15,2.21,2.97,3.35,中国足彩网专业欧赔市场,false,false,false,周日014,2040700,
