date,kickoff_local,kickoff_at,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,market_odds_a,market_odds_draw,market_odds_b,analysis_source,is_single_had,is_single_hhad,is_single_ttg,match_num,match_id,pool_status
2026-08-07,周五001,2026-08-07 18:25,日职联,横滨水手,鹿岛鹿角,false,中国足彩网备用数据,3.90,3.32,1.75,3.65,3.33,1.98,中国足彩网专业欧赔市场,false,false,false,周五001,2040737,
2026-08-07,周五002,2026-08-07 18:30,日职联,大阪钢巴,浦和红钻,false,中国足彩网备用数据,2.28,3.19,2.65,2.34,3.23,2.95,中国足彩网专业欧赔市场,true,false,false,周五002,2040738,
2026-08-07,周五003,2026-08-08 00:00,芬超,塞纳乔琪,赫尔火花,false,中国足彩网备用数据,2.02,3.50,2.88,2.18,3.55,2.91,中国足彩网专业欧赔市场,false,false,false,周五003,2040739,
2026-08-07,周五004,2026-08-08 01:00,挪超,桑纳菲,KF奥斯陆,false,中国足彩网备用数据,1.96,3.47,3.02,1.99,3.57,3.37,中国足彩网专业欧赔市场,false,false,false,周五004,2040740,
2026-08-07,周五005,2026-08-08 02:00,荷甲,坎布尔,SBV精英,false,中国足彩网备用数据,2.36,3.50,2.38,2.47,3.58,2.58,中国足彩网专业欧赔市场,true,false,false,周五005,2040741,
2026-08-07,周五006,2026-08-08 02:00,荷乙,奥斯,布雷达,false,中国足彩网备用数据,4.45,4.00,1.53,4.29,4.01,1.65,中国足彩网专业欧赔市场,false,false,false,周五006,2040742,
2026-08-07,周五007,2026-08-08 02:00,荷乙,埃门,罗达JC,false,中国足彩网备用数据,2.25,3.50,2.52,2.23,3.72,2.68,中国足彩网专业欧赔市场,false,false,false,周五007,2040743,
2026-08-07,周五008,2026-08-08 02:30,德乙,波鸿,柏林赫塔,false,中国足彩网备用数据,2.15,3.40,2.70,2.26,3.50,2.89,中国足彩网专业欧赔市场,false,false,false,周五008,2040744,
2026-08-07,周五009,2026-08-08 03:00,英联杯,米堡,雷克瑟姆,false,中国足彩网备用数据,1.46,3.95,5.25,1.67,3.79,4.56,中国足彩网专业欧赔市场,false,false,false,周五009,2040745,
2026-08-07,周五010,2026-08-08 03:15,葡超,埃斯托里,法马利康,false,中国足彩网备用数据,2.95,3.16,2.11,2.95,3.25,2.34,中国足彩网专业欧赔市场,true,false,false,周五010,2040746,
