date,kickoff_local,kickoff_at,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,market_odds_a,market_odds_draw,market_odds_b,analysis_source,is_single_had,is_single_hhad,is_single_ttg,match_num,match_id,pool_status
2026-08-08,周六001,2026-08-08 18:00,日职联,大阪樱花,冈山绿雉,false,中国足彩网备用数据,1.78,3.40,3.65,1.89,3.56,3.73,中国足彩网专业欧赔市场,true,false,false,周六001,2040750,
2026-08-08,周六002,2026-08-08 18:00,日职乙,大宫松鼠,新泻天鹅,false,中国足彩网备用数据,1.90,3.35,3.30,2.12,3.28,3.13,中国足彩网专业欧赔市场,false,false,false,周六002,2040797,
2026-08-08,周六003,2026-08-08 19:00,韩K联,FC安养,大田市民,false,中国足彩网备用数据,2.72,3.15,2.25,2.79,3.23,2.38,中国足彩网专业欧赔市场,false,false,false,周六003,2040751,
2026-08-08,周六004,2026-08-08 19:00,韩K联,全北现代,济州SK,false,中国足彩网备用数据,1.60,3.45,4.65,1.71,3.53,4.54,中国足彩网专业欧赔市场,false,false,false,周六004,2040752,
2026-08-08,周六005,2026-08-08 19:00,韩K联,金泉尚武,首尔FC,false,中国足彩网备用数据,3.60,3.45,1.78,3.60,3.48,1.92,中国足彩网专业欧赔市场,true,false,false,周六005,2040753,
2026-08-08,周六006,2026-08-08 20:00,挪超,瓦勒伦加,博德闪耀,false,中国足彩网备用数据,5.50,4.85,1.35,5.60,4.86,1.44,中国足彩网专业欧赔市场,true,false,false,周六006,2040754,
2026-08-08,周六007,2026-08-08 21:00,英联杯,女王巡游,米尔沃尔,false,中国足彩网备用数据,2.77,3.25,2.17,2.95,3.37,2.23,中国足彩网专业欧赔市场,false,false,false,周六007,2040755,
2026-08-08,周六008,2026-08-08 21:00,瑞典超,奥尔格里,索尔纳,false,中国足彩网备用数据,2.72,3.40,2.14,2.80,3.54,2.26,中国足彩网专业欧赔市场,true,false,false,周六008,2040756,
2026-08-08,周六009,2026-08-08 22:00,英联杯,西汉姆联,朴茨茅斯,false,中国足彩网备用数据,1.38,4.30,5.80,1.49,4.36,5.50,中国足彩网专业欧赔市场,false,false,false,周六009,2040757,
2026-08-08,周六010,2026-08-08 22:00,英联杯,斯旺西,伯明翰,false,中国足彩网备用数据,2.60,3.20,2.32,2.86,3.37,2.28,中国足彩网专业欧赔市场,true,false,false,周六010,2040758,
2026-08-08,周六011,2026-08-08 22:00,挪超,维京,萨普斯堡,false,中国足彩网备用数据,1.25,5.50,6.80,1.37,5.18,6.39,中国足彩网专业欧赔市场,false,false,false,周六011,2040759,
2026-08-08,周六012,2026-08-08 22:30,荷甲,奈梅亨,特尔斯达,false,中国足彩网备用数据,1.37,4.45,5.75,1.45,4.73,5.82,中国足彩网专业欧赔市场,false,false,false,周六012,2040760,
2026-08-08,周六013,2026-08-08 22:30,葡超,马里迪莫,卡沙比亚,false,中国足彩网备用数据,2.03,3.10,3.18,2.41,3.30,2.83,中国足彩网专业欧赔市场,false,false,false,周六013,2040761,
2026-08-08,周六014,2026-08-08 23:30,瑞典超,米亚尔比,埃夫斯堡,false,中国足彩网备用数据,2.30,3.22,2.61,2.46,3.33,2.69,中国足彩网专业欧赔市场,true,false,false,周六014,2040762,
2026-08-08,周六015,2026-08-09 00:00,芬超,雅罗,瓦萨,false,中国足彩网备用数据,4.00,3.55,1.68,3.70,3.56,1.88,中国足彩网专业欧赔市场,false,false,false,周六015,2040763,
2026-08-08,周六016,2026-08-09 00:45,荷甲,前进之鹰,威廉二世,false,中国足彩网备用数据,1.43,4.15,5.30,1.64,4.03,4.67,中国足彩网专业欧赔市场,false,false,false,周六016,2040764,
2026-08-08,周六017,2026-08-09 01:00,葡超,吉马良斯,阿罗卡,false,中国足彩网备用数据,1.75,3.35,3.85,1.89,3.49,3.87,中国足彩网专业欧赔市场,true,false,false,周六017,2040765,
2026-08-08,周六018,2026-08-09 02:00,荷甲,埃因霍温,福图纳,false,中国足彩网备用数据,0,0,0,1.18,7.70,11.57,中国足彩网专业欧赔市场,false,false,false,周六018,2040766,
2026-08-08,周六019,2026-08-09 02:45,法乙,波城,阿纳西,false,中国足彩网备用数据,2.80,3.15,2.20,2.54,3.35,2.55,中国足彩网专业欧赔市场,false,false,false,周六019,2040767,
2026-08-08,周六020,2026-08-09 02:45,法乙,蒙彼利埃,第戎,false,中国足彩网备用数据,1.74,3.20,4.15,1.91,3.32,3.83,中国足彩网专业欧赔市场,false,false,false,周六020,2040768,
2026-08-08,周六021,2026-08-09 02:45,法乙,南特,圣旺红星,false,中国足彩网备用数据,1.71,3.26,4.20,1.87,3.35,3.98,中国足彩网专业欧赔市场,false,false,false,周六021,2040798,
2026-08-08,周六022,2026-08-09 03:00,荷甲,阿尔克马,海牙,false,中国足彩网备用数据,1.34,4.60,6.05,1.43,4.71,6.29,中国足彩网专业欧赔市场,true,false,false,周六022,2040769,
2026-08-08,周六023,2026-08-09 03:00,巴西甲,格雷米奥,圣保罗,false,中国足彩网备用数据,2.33,2.85,2.86,2.32,3.17,3.05,中国足彩网专业欧赔市场,false,false,false,周六023,2040770,
2026-08-08,周六024,2026-08-09 03:30,葡超,阿马多拉,里斯本,false,中国足彩网备用数据,0,0,0,11.16,6.07,1.23,中国足彩网专业欧赔市场,false,false,false,周六024,2040771,
2026-08-08,周六025,2026-08-09 08:00,巴西甲,博塔弗戈,弗鲁米嫩,false,中国足彩网备用数据,2.40,3.00,2.65,2.41,3.17,2.90,中国足彩网专业欧赔市场,false,false,false,周六025,2040772,
