date,kickoff_local,kickoff_at,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,market_odds_a,market_odds_draw,market_odds_b,analysis_source,is_single_had,is_single_hhad,is_single_ttg,match_num,match_id,pool_status
2026-08-05,周三001,2026-08-06 08:30,巴西杯,弗鲁米嫩,达伽马,false,中国足彩网备用数据,2.03,2.80,3.62,1.98,3.19,3.73,中国足彩网专业欧赔市场,false,false,false,周三001,2040717,
2026-08-05,周三002,2026-08-06 00:30,欧冠,奥胡斯,沙巴巴库,false,中国足彩网备用数据,1.54,3.74,4.70,1.61,3.93,4.92,中国足彩网专业欧赔市场,true,false,false,周三002,2040722,
2026-08-05,周三003,2026-08-06 02:00,欧冠,费内巴切,格风暴,false,中国足彩网备用数据,1.25,5.05,7.60,1.34,4.96,7.69,中国足彩网专业欧赔市场,true,false,false,周三003,2040723,
