date,kickoff_local,kickoff_at,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,market_odds_a,market_odds_draw,market_odds_b,analysis_source,is_single_had,is_single_hhad,is_single_ttg,match_num,match_id,pool_status
2026-07-30,周四001,2026-07-31 01:00,欧联,中日德兰,贝西克塔,false,中国足彩网备用数据,1.72,3.70,3.60,1.90,3.62,3.53,中国足彩网专业欧赔市场,false,false,false,周四001,2040651,
2026-07-30,周四002,2026-07-31 01:00,欧联,帕佛斯,斯海杜克,false,中国足彩网备用数据,1.80,3.40,3.60,1.79,3.63,3.99,中国足彩网专业欧赔市场,false,false,false,周四002,2040652,
2026-07-30,周四003,2026-07-31 02:30,欧联,安德莱赫,哈马比,false,中国足彩网备用数据,2.09,3.35,2.85,2.15,3.39,3.05,中国足彩网专业欧赔市场,true,false,false,周四003,2040653,
2026-07-30,周四004,2026-07-31 02:30,欧联,费伦茨瓦,特温特,false,中国足彩网备用数据,2.95,3.60,1.95,2.78,3.59,2.23,中国足彩网专业欧赔市场,false,false,false,周四004,2040654,
2026-07-30,周四005,2026-07-31 03:00,欧联,本菲卡,圣加仑,false,中国足彩网备用数据,0,0,0,1.13,7.95,15.49,中国足彩网专业欧赔市场,false,false,false,周四005,2040655,
2026-07-30,周四006,2026-07-31 06:30,巴西甲,科林蒂安,巴竞技,false,中国足彩网备用数据,1.72,3.15,4.35,1.91,3.18,4.24,中国足彩网专业欧赔市场,true,false,false,周四006,2040656,
