date,team_a,team_b,home_goals,away_goals,half_home_goals,half_away_goals,match_id,result_status,result_source,source_record_id,captured_at_bjt,score_scope,settlement_minutes,result_observations_json
2026-07-18,赫尔辛基,瓦萨,2,1,,,,unavailable,zgzcw,2040551,2026-07-24T13:49:52.973051+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:49:52.973051+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040551""}],""schema_version"":1}"
2026-07-18,索尔纳,盖斯,2,0,,,,unavailable,zgzcw,2040552,2026-07-24T13:49:52.973054+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:49:52.973054+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040552""}],""schema_version"":1}"
2026-07-18,利勒斯特,KF奥斯陆,2,1,,,,unavailable,zgzcw,2040553,2026-07-24T13:49:52.973057+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:49:52.973057+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040553""}],""schema_version"":1}"
2026-07-18,斯达,罗森博格,0,3,,,,unavailable,zgzcw,2040554,2026-07-24T13:49:52.973060+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""3"",""captured_at_bjt"":""2026-07-24T13:49:52.973060+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040554""}],""schema_version"":1}"
2026-07-18,克里斯蒂,萨普斯堡,0,0,,,,unavailable,zgzcw,2040555,2026-07-24T13:49:52.973063+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:49:52.973063+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040555""}],""schema_version"":1}"
2026-07-18,奥卢,赫尔火花,0,2,,,,unavailable,zgzcw,2040556,2026-07-24T13:49:52.973065+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:49:52.973065+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040556""}],""schema_version"":1}"
2026-07-18,塞纳乔琪,库普斯,0,2,,,,unavailable,zgzcw,2040557,2026-07-24T13:49:52.973069+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:49:52.973069+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040557""}],""schema_version"":1}"
2026-07-18,莫尔德,布兰,1,2,,,,unavailable,zgzcw,2040558,2026-07-24T13:49:52.973073+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:49:52.973073+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040558""}],""schema_version"":1}"
2026-07-18,维京,桑纳菲,2,1,,,,unavailable,zgzcw,2040559,2026-07-24T13:49:52.973075+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:49:52.973075+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040559""}],""schema_version"":1}"
2026-07-19,西班牙,阿根廷,0,0,,,,unavailable,zgzcw,2040541,2026-07-24T13:52:00.463766+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:52:00.463766+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040541""}],""schema_version"":1}"
2026-07-19,富川FC,首尔FC,1,3,,,,unavailable,zgzcw,2040560,2026-07-24T13:52:00.463785+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""3"",""captured_at_bjt"":""2026-07-24T13:52:00.463785+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040560""}],""schema_version"":1}"
2026-07-19,FC安养,光州FC,1,1,,,,unavailable,zgzcw,2040561,2026-07-24T13:52:00.463790+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-24T13:52:00.463790+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040561""}],""schema_version"":1}"
2026-07-19,埃夫斯堡,天狼星,1,3,,,,unavailable,zgzcw,2040562,2026-07-24T13:52:00.463793+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""3"",""captured_at_bjt"":""2026-07-24T13:52:00.463793+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040562""}],""schema_version"":1}"
2026-07-19,哈斯塔德,赫根,0,2,,,,unavailable,zgzcw,2040563,2026-07-24T13:52:00.463796+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:52:00.463796+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040563""}],""schema_version"":1}"
2026-07-19,哈马比,代格福什,4,0,,,,unavailable,zgzcw,2040564,2026-07-24T13:52:00.463800+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:52:00.463800+08:00"",""home_goals"":""4"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040564""}],""schema_version"":1}"
2026-07-19,雅罗,国际图尔,0,0,,,,unavailable,zgzcw,2040565,2026-07-24T13:52:00.463802+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:52:00.463802+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040565""}],""schema_version"":1}"
2026-07-20,图尔库,埃尔维斯,1,3,,,,unavailable,zgzcw,2040566,2026-07-24T13:52:47.840075+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""3"",""captured_at_bjt"":""2026-07-24T13:52:47.840075+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040566""}],""schema_version"":1}"
2026-07-20,玛丽港,拉赫蒂,0,2,,,,unavailable,zgzcw,2040567,2026-07-24T13:52:47.840091+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:52:47.840091+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040567""}],""schema_version"":1}"
2026-07-20,厄格里特,佐加顿斯,0,0,,,,unavailable,zgzcw,2040568,2026-07-24T13:52:47.840095+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-24T13:52:47.840095+08:00"",""home_goals"":""0"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040568""}],""schema_version"":1}"
2026-07-20,卡尔马,马尔默,2,2,,,,unavailable,zgzcw,2040569,2026-07-24T13:52:47.840098+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-24T13:52:47.840098+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040569""}],""schema_version"":1}"
