date,team_a,team_b,home_goals,away_goals,half_home_goals,half_away_goals,match_id,result_status,result_source,source_record_id,captured_at_bjt,score_scope,settlement_minutes,result_observations_json
2026-07-25,卡尔马,米亚尔比,2,1,,,2040618,finished,zgzcw,2040618,2026-07-26T13:51:27.605369+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-26T13:51:27.605369+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040618""}],""schema_version"":1}"
2026-07-25,巴竞技,巴西国际,2,0,,,2040619,finished,zgzcw,2040619,2026-07-26T13:51:27.605373+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-26T13:51:27.605373+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040619""}],""schema_version"":1}"
2026-07-25,桑托斯,沙佩科,2,2,,,2040620,finished,zgzcw,2040620,2026-07-26T13:51:27.605376+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-26T13:51:27.605376+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040620""}],""schema_version"":1}"
2026-07-25,圣地亚哥,达拉斯,1,0,,,2040621,finished,zgzcw,2040621,2026-07-26T13:51:27.605390+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-26T13:51:27.605390+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040621""}],""schema_version"":1}"
2026-07-25,圣何塞,洛城银河,1,1,,,2040622,finished,zgzcw,2040622,2026-07-26T13:51:27.605393+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-26T13:51:27.605393+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040622""}],""schema_version"":1}"
2026-07-26,首尔FC,蔚山现代,1,3,,,2040623,finished,zgzcw,2040623,2026-07-27T13:59:34.532533+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""3"",""captured_at_bjt"":""2026-07-27T13:59:34.532533+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040623""}],""schema_version"":1}"
2026-07-26,仁川联队,富川FC,1,1,,,2040624,finished,zgzcw,2040624,2026-07-27T13:59:34.532555+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-27T13:59:34.532555+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040624""}],""schema_version"":1}"
2026-07-26,光州FC,济州SK,1,2,,,2040625,finished,zgzcw,2040625,2026-07-27T13:59:34.532561+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-27T13:59:34.532561+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040625""}],""schema_version"":1}"
2026-07-26,FC安养,江原FC,2,1,,,2040626,finished,zgzcw,2040626,2026-07-27T13:59:34.532565+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-27T13:59:34.532565+08:00"",""home_goals"":""2"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040626""}],""schema_version"":1}"
2026-07-26,布鲁马波,哈马比,1,1,,,2040627,finished,zgzcw,2040627,2026-07-27T13:59:34.532568+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-27T13:59:34.532568+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040627""}],""schema_version"":1}"
2026-07-26,天狼星,哥德堡,4,1,,,2040628,finished,zgzcw,2040628,2026-07-27T13:59:34.532572+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""1"",""captured_at_bjt"":""2026-07-27T13:59:34.532572+08:00"",""home_goals"":""4"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040628""}],""schema_version"":1}"
2026-07-26,国际图尔,赫尔火花,1,2,,,2040629,finished,zgzcw,2040629,2026-07-27T13:59:34.532576+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""2"",""captured_at_bjt"":""2026-07-27T13:59:34.532576+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040629""}],""schema_version"":1}"
2026-07-26,埃尔维斯,拉赫蒂,1,0,,,2040630,finished,zgzcw,2040630,2026-07-27T13:59:34.532579+08:00,regular_time_90,90,"{""observations"":[{""away_goals"":""0"",""captured_at_bjt"":""2026-07-27T13:59:34.532579+08:00"",""home_goals"":""1"",""result_source"":""zgzcw"",""score_scope"":""regular_time_90"",""settlement_minutes"":""90"",""source_record_id"":""2040630""}],""schema_version"":1}"
