date,kickoff_local,kickoff_at,stage,team_a,team_b,neutral,venue,odds_a,odds_draw,odds_b,market_odds_a,market_odds_draw,market_odds_b,analysis_source,is_single_had,is_single_hhad,is_single_ttg,match_num,match_id,pool_status
2026-08-06,周四001,2026-08-07 07:00,巴西杯,维多利亚,巴竞技,false,中国足彩网备用数据,2.20,3.20,2.77,2.43,3.08,2.86,中国足彩网专业欧赔市场,false,false,false,周四001,2040718,
2026-08-06,周四002,2026-08-06 23:00,欧联,库普斯,克约大学,false,中国足彩网备用数据,3.15,3.10,2.05,3.32,3.31,2.08,中国足彩网专业欧赔市场,true,false,false,周四002,2040729,
2026-08-06,周四003,2026-08-07 00:00,欧联,比亚韦,流浪者,false,中国足彩网备用数据,2.65,3.15,2.30,2.91,3.21,2.33,中国足彩网专业欧赔市场,false,false,false,周四003,2040724,
2026-08-06,周四004,2026-08-07 01:45,欧联,塞萨洛,安德莱赫,false,中国足彩网备用数据,1.48,3.80,5.30,1.65,3.70,4.81,中国足彩网专业欧赔市场,false,false,false,周四004,2040725,
2026-08-06,周四005,2026-08-07 03:00,欧联,本菲卡,哈茨,false,中国足彩网备用数据,0,0,0,1.11,8.68,16.48,中国足彩网专业欧赔市场,true,false,false,周四005,2040726,
